States,Sum of EV Level1 EVSE Num,Sum of EV Level2 EVSE Num,Sum of EV DC Fast Count
AK,3,90,35
AL,35,710,373
AR,3,722,120
AZ,9,2511,1029
CA,648,38470,10921
CO,80,4467,971
CT,64,2078,440
DC,25,1095,65
DE,5,322,197
FL,363,7287,2247
GA,230,3908,1149
HI,25,748,71
IA,4,548,304
ID,6,384,141
IL,51,2475,1022
IN,8,1033,522
KS,14,961,225
KY,24,605,214
LA,21,471,224
MA,49,6663,721
MD,38,4084,952
ME,22,854,231
MI,13,2713,727
MN,73,1501,464
MO,15,2221,460
MS,139,298,119
MT,3,179,185
NC,37,3230,1015
ND,,121,89
NE,1,392,153
NH,5,418,181
NJ,16,2684,1023
NM,10,474,241
NV,15,1356,643
NY,36,10157,1376
OH,41,2886,787
OK,6,513,847
OR,73,2335,808
PA,49,3311,1045
PR,,33,
RI,82,651,91
SC,15,914,470
SD,2,124,105
TN,34,1694,514
TX,83,6492,2372
UT,15,1831,329
VA,218,3263,1168
VT,21,853,129
WA,163,4592,1190
WI,7,1010,424
WV,19,290,143
WY,3,139,110
(blank),,19,3
Grand Total,2921,137180,39385
