City,State,Stations_Count,Level1_Total,Level2_Total,DC_Fast_Total,Public_Stations,Private_Stations
8900 E. Buckeye Ave.,WA,1,0.0,0.0,2.0,1,0
AIKEN,SC,1,1.0,0.0,0.0,0,1
ALBERT LEA,MN,1,0.0,1.0,1.0,1,0
ALGONA,IA,1,0.0,0.0,1.0,1,0
ALLENTOWN,PA,1,0.0,0.0,1.0,1,0
ANN ARBOR,MI,1,2.0,0.0,0.0,0,1
ANTHEM,AZ,1,0.0,0.0,4.0,1,0
ARDEN,NC,1,0.0,1.0,0.0,1,0
ASHLAND,WI,1,0.0,0.0,4.0,1,0
ATLANTA,GA,1,0.0,2.0,0.0,1,0
AUBURN,ME,1,0.0,0.0,1.0,1,0
AVON,OH,1,0.0,0.0,2.0,1,0
Abbeville,SC,1,0.0,2.0,0.0,1,0
Abbott,TX,1,0.0,0.0,8.0,1,0
Aberdeen,MD,12,0.0,31.0,32.0,11,1
Aberdeen,NC,2,0.0,6.0,0.0,1,1
Aberdeen,NJ,1,0.0,2.0,0.0,1,0
Aberdeen,SD,3,0.0,5.0,1.0,3,0
Aberdeen,WA,8,0.0,0.0,18.0,8,0
Aberdeen Proving Ground,MD,1,0.0,2.0,0.0,1,0
Abesecon,NJ,1,0.0,4.0,0.0,1,0
Abilene,KS,2,0.0,0.0,16.0,2,0
Abilene,TX,4,0.0,7.0,0.0,4,0
Abingdon,MD,7,0.0,2.0,20.0,7,0
Abingdon,VA,5,0.0,5.0,1.0,4,1
Abington,MA,2,0.0,5.0,0.0,2,0
Abington,PA,1,0.0,2.0,0.0,1,0
Abita Springs,LA,2,0.0,4.0,0.0,2,0
Absecon,NJ,1,0.0,2.0,0.0,1,0
Acampo,CA,3,0.0,4.0,0.0,3,0
Accokeek,MD,2,0.0,4.0,0.0,2,0
Acme,MI,2,0.0,5.0,0.0,2,0
Acme,PA,1,0.0,1.0,0.0,1,0
Acton,CA,1,0.0,3.0,0.0,1,0
Acton,MA,11,0.0,24.0,0.0,11,0
Acworth,GA,5,0.0,7.0,16.0,5,0
Ada,MI,3,0.0,6.0,0.0,3,0
Ada,OH,4,0.0,8.0,0.0,4,0
Ada,OK,7,0.0,9.0,16.0,6,1
Adairsville,GA,4,0.0,3.0,20.0,4,0
Adams,TN,2,0.0,2.0,0.0,2,0
Addison,IL,1,0.0,3.0,0.0,1,0
Addison,TX,7,0.0,18.0,0.0,6,1
Adel,IA,1,0.0,0.0,2.0,1,0
Adelphi,MD,1,0.0,2.0,0.0,1,0
Adrian,MI,1,0.0,2.0,0.0,1,0
Afton,VA,2,2.0,1.0,0.0,2,0
Afton,WY,2,0.0,0.0,2.0,2,0
Agawam,MA,8,0.0,40.0,0.0,8,0
Agoura,CA,1,0.0,6.0,0.0,0,1
Agoura Hills,CA,21,0.0,51.0,4.0,18,3
Aguilar,CO,1,0.0,1.0,0.0,1,0
Ahwahnee,CA,1,0.0,10.0,0.0,1,0
Aiea,HI,6,0.0,10.0,6.0,6,0
Aiken,SC,5,0.0,5.0,4.0,4,1
Ainsworth,NE,2,0.0,0.0,2.0,2,0
Airway Heights,WA,8,0.0,15.0,0.0,8,0
Ajo,AZ,2,0.0,4.0,0.0,2,0
Akron,CO,2,0.0,2.0,1.0,2,0
Akron,OH,37,0.0,65.0,1.0,35,2
Akron,PA,2,0.0,4.0,0.0,2,0
Akwesasne,NY,3,0.0,6.0,0.0,3,0
Alabaster,AL,2,0.0,0.0,20.0,2,0
Alachua,FL,1,0.0,0.0,12.0,1,0
Alameda,CA,49,0.0,118.0,25.0,47,2
